Chen,MassOrig,MassRescaled,MassSigma,MassSigmaRescaled,COM,COMSigma
headneck,7.13,7.131426285,0.59,0.590118024,87.42,1.8
trunk,46.49,46.49929986,1.61,1.610322064,69.31,0.7
thoraxabdo,35.32,35.32706541,1.72,1.720344069,69.31,2.4
pelvis,11.17,11.17223445,0.94,0.940188038,49,5.6
arm,3.73,3.730746149,0.28,0.280056011,43.8,7
forearm,1.33,1.330266053,0.09,0.090018004,42.95,9.6
hand,0.57,0.570114023,0.06,0.060012002,49.67,3.5
thigh,11.41,11.41228246,1.04,1.040208042,43.79,1.2
leg,4.48,4.480896179,0.37,0.370074015,43.25,3.8
foot,1.66,1.660332066,0.16,0.160032006,48.55,0.42
