MaF,Mass,MassPercent,MassSigma,MassSigmaPercent,COM,COMSigma
headneck,4.55,8.117752007,0.33,0.588760036,49.08,1.31
thorax,9.47,16.8956289,1.52,2.711864406,59.03,1.17
abdo,7.64,13.63068689,1.79,3.193577164,49.74,1.12
pelvis,7.63,13.61284567,1.28,2.283675289,35.37,1.23
thigh,8.01,14.29081178,1.22,2.176628011,47.48,1.63
leg,2.49,4.442462087,0.37,0.660124888,40.88,0.92
foot,0.59,1.052631579,0.07,0.124888492,43.21,2.17
arm,1.29,2.301516503,0.22,0.39250669,54.12,1.53
forearm,0.71,1.266726137,0.14,0.249776985,41.94,1.93
hand,0.29,0.517395183,0.06,0.107047279,34.36,1.51
