MaM,Mass,MassPercent,MassSigma,MassSigmaPercent,COM,COMSigma
headneck,5.66,8.090337336,0.45,0.6432247,50.52,2.17
thorax,12.33,17.62435678,1.62,2.31560892,57.59,1.1
abdo,10.42,14.89422527,2.47,3.530588908,49.04,1.16
pelvis,8.87,12.67867353,1.89,2.70154374,36.04,1.2
thigh,9.37,13.39336764,1.47,2.101200686,47.22,1.53
leg,3.04,4.345340194,0.45,0.6432247,41.06,0.91
foot,0.78,1.114922813,0.09,0.12864494,42.7,0.82
arm,1.72,2.458547742,0.26,0.371640938,53.69,1.76
forearm,1.01,1.443682104,0.17,0.242995998,41.91,1.03
hand,0.44,0.628930818,0.06,0.085763293,34.94,1.44
